personId,firstName,lastName,birthDate,height,weight,nbSeasons,jerseyNumber,position,startYear,endYear,draftYear,draftRound,draftNumber
2,Byron,Scott,1961-03-28,193.0,92.0,14,,Guard,1983,1996,1983,1,4
3,Grant,Long,1966-03-12,205.0,108.0,16,,Forward,1988,2002,1988,2,33
7,Dan,Schayes,1959-05-10,210.0,117.0,18,24.0,Center,1981,1998,1981,1,13
9,Sedale,Threatt,1961-09-10,187.0,83.0,14,2.0,Guard,1983,1996,1983,6,139
12,Chris,King,1969-07-24,203.0,97.0,3,,Forward,1993,1998,1992,2,45
15,Eric,Piatkowski,1970-09-30,200.0,97.0,15,52.0,Guard-Forward,1994,2007,1994,1,15
17,Clyde,Drexler,1962-06-22,200.0,100.0,15,22.0,Guard,1983,1997,1983,1,14
21,Greg,Anthony,1967-11-15,185.0,81.0,11,50.0,Guard,1991,2001,1991,1,12
22,Rik,Smits,1966-08-23,223.0,120.0,12,45.0,Center,1988,1999,1988,1,2
23,Dennis,Rodman,1961-05-13,200.0,95.0,14,10.0,Forward,1986,1999,1986,2,27
24,Keith,Jennings,1968-11-02,170.0,72.0,3,2.0,Guard,1992,1994,Undrafted,Undrafted,Undrafted
26,Luc,Longley,1969-01-19,,,10,,Center,1991,2000,1991,1,7
28,Doug,West,1967-05-27,,,12,,Guard,1989,2000,1989,2,38
29,Jim,McIlvaine,1972-07-30,,,7,,Center,1994,2000,1994,2,32
30,Richard,Dumas,1969-05-19,200.0,102.0,3,7.0,Forward,1992,1995,1991,2,46
31,Lorenzo,Williams,1969-07-15,205.0,90.0,7,,Forward,1992,1999,Undrafted,Undrafted,Undrafted
32,Clifford,Rozier,1972-10-31,210.0,111.0,4,,Center,1994,1997,1994,1,16
35,Eric,Riley,1970-06-02,213.0,111.0,4,44.0,Center,1993,1998,1993,2,33
36,Sarunas,Marciulionis,1964-06-13,195.0,90.0,7,78.0,Guard,1989,1996,1987,6,127
37,Greg,Graham,1970-11-26,193.0,78.0,5,,Guard,1993,1997,1993,1,17
38,Brad,Lohaus,1964-09-29,210.0,104.0,10,54.0,Forward-Center,1987,1997,1987,2,45
41,Anthony,Bonner,1968-06-08,203.0,104.0,7,33.0,Forward,1990,2002,1990,1,23
42,Monty,Williams,1971-10-08,203.0,102.0,10,5.0,Forward,1994,2002,1994,1,24
43,Chris,Whitney,1971-10-05,182.0,79.0,12,12.0,Guard,1993,2003,1993,2,47
45,George,McCloud,1967-05-27,203.0,104.0,13,21.0,Forward,1989,2002,1989,1,7
46,Mike,Peplowski,1970-10-15,208.0,122.0,3,54.0,Center,1993,1995,1993,2,52
47,Wayman,Tisdale,1964-06-09,205.0,117.0,12,23.0,Forward,1985,1996,1985,1,2
49,Gheorghe,Muresan,1971-02-14,231.0,137.0,7,77.0,Center,1993,1999,1993,2,30
51,Mahmoud,Abdul-Rauf,1969-03-09,185.0,73.0,9,1.0,Guard,1990,2000,1990,1,3
52,Micheal,Williams,1966-07-23,187.0,79.0,10,,Guard,1988,1998,1988,2,48
53,Mario,Elie,1963-11-26,195.0,102.0,11,17.0,Guard-Forward,1990,2000,1985,7,160
54,Dickey,Simpkins,1972-04-06,,,7,,Forward,1994,2001,1994,1,21
55,Marty,Conlon,1968-01-19,208.0,101.0,9,,Center,1991,1999,Undrafted,Undrafted,Undrafted
56,Gary,Payton,1968-07-23,193.0,86.0,18,20.0,Guard,1990,2006,1990,1,2
57,Doug,Christie,1970-05-09,198.0,92.0,15,,Guard-Forward,1992,2006,1992,1,17
61,Carl,Herrera,1966-12-14,,,8,,,1991,2008,1990,2,30
64,Sam,Perkins,1961-06-14,205.0,117.0,17,14.0,Center-Forward,1984,2000,1984,1,4
65,Greg,Minor,1971-09-08,198.0,95.0,5,,Guard,1994,1998,1994,1,25
66,Marques,Bragg,1970-03-24,203.0,104.0,1,33.0,Forward,1995,1995,Undrafted,Undrafted,Undrafted
67,Tom,Hammonds,1967-03-27,,,12,,Forward,1989,2000,1989,1,9
70,Steve,Kerr,1965-09-27,185.0,81.0,16,25.0,Guard,1988,2002,1988,2,50
71,Pooh,Richardson,1966-05-14,185.0,81.0,10,,Guard,1989,1998,1989,1,10
72,Kenny,Anderson,1970-10-09,185.0,76.0,14,,Guard,1991,2004,1991,1,2
73,Hot Rod,Williams,1962-08-09,210.0,111.0,13,18.0,Center,1986,1998,1985,2,45
76,Cedric,Ceballos,1969-08-02,200.0,99.0,11,23.0,Forward,1990,2000,1990,2,48
77,Doug,Overton,1969-08-03,190.0,86.0,12,24.0,Guard,1992,2003,1991,2,40
78,LaSalle,Thompson,1961-06-23,208.0,111.0,15,,Center,1982,1996,1982,1,5
80,Ken,Norman,1964-09-05,203.0,97.0,10,,Forward,1987,1996,1987,1,19
81,Jeff,Grayer,1965-12-17,195.0,95.0,9,20.0,Guard,1988,1997,1988,1,13
82,Bill,Wennington,1963-04-26,213.0,111.0,13,,Center,1985,1999,1985,1,16
84,Latrell,Sprewell,1970-09-08,195.0,88.0,14,8.0,Guard,1992,2004,1992,1,24
85,Brent,Price,1968-12-09,185.0,83.0,10,25.0,Guard,1992,2002,1992,2,32
87,Dikembe,Mutombo,1966-06-25,218.0,117.0,19,55.0,Center,1991,2008,1991,1,4
88,Steve,Scheffler,1967-09-03,205.0,113.0,7,,Forward,1990,1996,1990,2,39
89,Nick,Van Exel,1971-11-27,185.0,86.0,13,31.0,Guard,1993,2005,1993,2,37
93,Hubert,Davis,1970-05-17,195.0,83.0,13,44.0,Guard,1992,2003,1992,1,20
95,Mark,Bryant,1965-04-25,205.0,113.0,16,9.0,Forward,1988,2002,1988,1,21
96,Detlef,Schrempf,1963-01-21,208.0,106.0,16,12.0,Forward,1985,2000,1985,1,8
97,Ronnie,Grandison,1964-07-09,198.0,99.0,4,20.0,Forward,1988,1995,1987,5,100
98,Nick,Anderson,1968-01-20,198.0,103.0,14,5.0,Forward-Guard,1989,2002,1989,1,11
100,Tim,Legler,1966-12-26,193.0,90.0,10,,Guard,1989,1999,Undrafted,Undrafted,Undrafted
101,Scott,Skiles,1964-03-05,185.0,81.0,10,5.0,Guard,1986,1995,1986,1,22
103,Todd,Day,1970-01-07,,,8,,,1992,2000,1992,1,8
104,Benoit,Benjamin,1964-11-22,213.0,113.0,15,,Center,1985,1999,1985,1,3
105,Dan,Majerle,1965-09-09,198.0,100.0,14,9.0,Guard-Forward,1988,2001,1988,1,14
107,Dale,Ellis,1960-08-06,200.0,92.0,17,,Guard,1983,1999,1983,1,9
109,Robert,Horry,1970-08-25,208.0,108.0,17,25.0,Forward-Center,1992,2007,1992,1,11
111,LaPhonso,Ellis,1970-05-05,203.0,108.0,12,3.0,Forward,1992,2002,1992,1,5
112,Dontonio,Wingfield,1974-06-23,203.0,116.0,4,,Forward,1994,1997,1994,2,37
114,Harold,Miner,1971-05-05,195.0,95.0,4,4.0,Guard,1992,1995,1992,1,12
116,David,Wood,1964-11-30,205.0,104.0,7,7.0,Forward,1988,1996,Undrafted,Undrafted,Undrafted
117,Jeff,Malone,1961-06-28,193.0,92.0,13,,Guard,1983,1995,1983,1,10
120,Steven,Smith,1969-03-31,203.0,100.0,15,8.0,Guard-Forward,1991,2004,1991,1,5
121,Patrick,Ewing,1962-08-05,213.0,115.0,17,33.0,Center,1985,2001,1985,1,1
122,Fred,Roberts,1960-08-14,208.0,98.0,13,,Forward,1983,1996,1982,2,27
123,Robert,Pack,1969-02-03,187.0,86.0,13,,Guard,1991,2003,Undrafted,Undrafted,Undrafted
124,Vlade,Divac,1968-02-03,215.0,117.0,17,21.0,Center,1989,2004,1989,1,26
128,David,Benoit,1968-05-09,203.0,99.0,7,21.0,Forward,1991,2000,Undrafted,Undrafted,Undrafted
129,Dino,Radja,1967-04-24,210.0,102.0,4,,Center,1993,1996,1989,2,40
132,Dwayne,Morton,1971-08-10,200.0,88.0,1,50.0,Guard,1994,1994,1994,2,45
133,David,Wesley,1970-11-14,185.0,92.0,15,4.0,Guard,1993,2006,Undrafted,Undrafted,Undrafted
134,Kevin,Johnson,1966-03-04,185.0,86.0,12,7.0,Guard,1987,1999,1987,1,7
136,P.J.,Brown,1969-10-14,210.0,108.0,16,93.0,Forward-Center,1993,2007,1992,2,29
137,Vernon,Maxwell,1965-09-12,193.0,86.0,13,3.0,Guard,1988,2000,1988,2,47
138,Anthony,Avent,1969-10-18,205.0,108.0,6,30.0,Center,1992,1999,1991,1,15
140,Donald,Royal,1966-05-22,203.0,98.0,8,5.0,Forward,1989,1997,1987,3,52
141,Anthony,Tucker,1969-04-04,203.0,99.0,1,21.0,Forward,1994,1994,1996,,
143,Terry,Dehere,1971-09-12,193.0,86.0,6,24.0,Guard,1993,1998,1993,1,13
145,Tracy,Murray,1971-07-25,200.0,104.0,13,,Forward,1992,2003,1992,1,18
146,Jud,Buechler,1968-06-19,198.0,103.0,12,30.0,Guard-Forward,1990,2001,1990,2,38
147,Jalen,Rose,1973-01-30,203.0,97.0,14,8.0,Guard-Forward,1994,2006,1994,1,13
149,Michael,Adams,1963-01-19,177.0,74.0,11,23.0,Guard,1985,1995,1985,3,66
154,Adrian,Caldwell,1966-07-04,203.0,120.0,6,,Forward,1989,1997,Undrafted,Undrafted,Undrafted
156,Antoine,Carr,1961-07-23,205.0,102.0,16,,Forward,1984,1999,1983,1,8
157,Derek,Harper,1961-10-13,193.0,93.0,16,12.0,Guard,1983,1998,1983,1,11
160,Tim,Breaux,1970-09-19,200.0,97.0,3,,Forward,1994,1997,Undrafted,Undrafted,Undrafted
164,Chris,Childs,1967-11-20,190.0,88.0,9,,Guard,1994,2002,Undrafted,Undrafted,Undrafted
165,Hakeem,Olajuwon,1963-01-21,213.0,115.0,19,34.0,Center,1984,2002,1984,1,1
166,Ron,Harper,1964-01-20,198.0,97.0,15,4.0,Guard,1986,2000,1986,1,8
168,Chris,Mills,1970-01-25,200.0,99.0,11,34.0,Forward,1993,2002,1993,1,22
170,Joe,Kleine,1962-01-04,210.0,115.0,15,,Center,1985,1999,1985,1,6
173,Keith,Askins,1967-12-15,203.0,97.0,9,2.0,Forward-Guard,1990,1998,Undrafted,Undrafted,Undrafted
174,John,Battle,1962-11-09,187.0,79.0,10,10.0,Guard,1985,1994,1985,4,84
175,Alton,Lister,1958-10-01,213.0,111.0,16,53.0,Center-Forward,1981,1997,1981,1,21
176,Antonio,Harvey,1970-07-06,210.0,113.0,8,4.0,Forward-Center,1993,2002,Undrafted,Undrafted,Undrafted
177,Muggsy,Bogues,1965-01-09,,,14,,Guard,1987,2000,1987,1,12
178,Olden,Polynice,1964-11-21,208.0,113.0,15,,Center-Forward,1987,2003,1987,1,8
179,Bryant,Stith,1970-12-10,195.0,95.0,11,23.0,Guard,1992,2002,1992,1,13
180,John,Crotty,1969-07-15,,,11,,Guard,1992,2002,Undrafted,Undrafted,Undrafted
181,Kenny,Smith,1965-03-08,190.0,77.0,10,30.0,Guard,1987,1996,1987,1,6
182,Billy,Owens,1969-05-01,205.0,102.0,11,2.0,Forward-Guard,1991,2002,1991,1,3
183,Bison,Dele,1969-04-06,210.0,117.0,8,8.0,Center-Forward,1991,1998,1991,1,10
184,Bobby,Phills,1969-12-20,195.0,95.0,9,13.0,Guard,1991,1999,1991,2,45
185,Chris,Webber,1973-03-01,208.0,111.0,15,4.0,Forward-Center,1993,2007,1993,1,1
187,Terry,Cummings,1961-03-15,205.0,99.0,18,,Forward,1982,1999,1982,1,2
189,B.J.,Tyler,1971-04-30,185.0,83.0,1,1.0,Guard,1994,1994,1994,1,20
190,Duane,Causwell,1968-05-31,213.0,115.0,12,,Center,1990,2002,1990,1,18
192,Dennis,Scott,1968-09-05,203.0,103.0,10,9.0,Forward,1990,1999,1990,1,4
193,Anthony,Mason,1966-12-14,203.0,115.0,14,17.0,Forward,1989,2002,1988,3,53
194,Anthony,Bowie,1963-11-09,198.0,90.0,7,13.0,Guard,1988,1997,1986,3,66
195,Lee,Mayberry,1970-06-12,185.0,78.0,7,,Guard,1992,1998,1992,1,23
197,Scott,Burrell,1971-01-12,200.0,98.0,8,2.0,Guard,1993,2000,1993,1,20
198,Danny,Ferry,1966-10-17,208.0,106.0,14,35.0,Forward,1990,2002,1989,1,2
201,Chris,Dudley,1965-02-22,210.0,117.0,17,14.0,Center,1987,2002,1987,4,75
202,Gary,Grant,1965-04-21,,,13,,Guard,1988,2000,1988,1,15
203,Nate,McMillan,1964-08-03,195.0,95.0,12,10.0,Guard-Forward,1986,1997,1986,2,30
204,Jeff,Hornacek,1963-05-03,193.0,86.0,14,14.0,Guard,1986,1999,1986,2,46
208,Sam,Cassell,1969-11-18,190.0,83.0,16,28.0,Guard,1993,2007,1993,1,24
209,Dell,Curry,1964-06-25,195.0,92.0,16,30.0,Guard-Forward,1986,2001,1986,1,15
210,Terrell,Brandon,1970-05-20,180.0,78.0,12,7.0,Guard,1991,2002,1991,1,11
211,Eric,Mobley,1970-02-01,210.0,106.0,3,,Center,1994,1996,1994,1,18
212,Yinka,Dare,1972-10-10,213.0,120.0,4,,Center,1994,1997,1994,1,14
213,Antonio,Davis,1968-10-31,205.0,111.0,13,,Forward-Center,1993,2005,1990,2,45
216,Brian,Shaw,1966-03-22,198.0,90.0,15,20.0,Guard,1988,2002,1988,1,24
219,Vinny,Del Negro,1966-08-09,,,12,,Guard,1988,2001,1988,2,29
221,Clar.,Weatherspoon,1970-09-08,200.0,122.0,14,30.0,Forward,1992,2004,1992,1,9
223,Bill,Curley,1972-05-29,,,6,,Forward,1994,2000,1994,1,22
224,Eddie,Jones,1971-10-20,198.0,90.0,15,6.0,Guard-Forward,1994,2007,1994,1,10
226,Antonio,Lang,1972-05-15,203.0,92.0,6,,Forward,1994,1999,1994,2,29
228,Adam,Keefe,1970-02-22,205.0,104.0,9,32.0,Forward,1992,2000,1992,1,10
229,James,Edwards,1955-11-22,215.0,114.0,19,53.0,Center,1977,1995,1977,3,46
234,Khalid,Reeves,1972-07-15,190.0,90.0,6,,Guard,1994,1999,1994,1,12
236,Kevin,Edwards,1965-10-30,190.0,95.0,11,21.0,Guard,1988,2000,1988,1,20
238,Tyrone,Hill,1968-03-19,205.0,113.0,14,,Forward,1990,2003,1990,1,11
239,Darrick,Martin,1971-03-06,180.0,77.0,13,,Guard,1994,2007,Undrafted,Undrafted,Undrafted
240,Brooks,Thompson,1970-07-19,193.0,87.0,4,,Guard,1994,1997,1994,1,27
241,Darrin,Hancock,1971-11-03,200.0,92.0,3,35.0,Forward,1994,1996,1994,2,38
243,Aaron,McKie,1972-10-02,195.0,94.0,14,2.0,Guard,1994,2006,1994,1,17
246,Greg,Anderson,1964-06-22,208.0,113.0,10,0.0,Center-Forward,1987,1997,1987,1,23
247,Joe,Dumars,1963-05-24,190.0,88.0,14,4.0,Guard,1985,1998,1985,1,18
248,George,Lynch,1970-09-03,203.0,106.0,13,9.0,Forward,1993,2004,1993,1,12
251,Sean,Elliott,1968-02-02,203.0,99.0,12,32.0,Forward,1989,2000,1989,1,3
252,Karl,Malone,1963-07-24,205.0,117.0,20,32.0,Forward,1985,2003,1985,1,13
255,Grant,Hill,1972-10-05,203.0,102.0,18,33.0,Forward,1994,2012,1994,1,3
258,Brian,Grant,1972-03-05,205.0,115.0,13,55.0,Forward-Center,1994,2005,1994,1,8
262,Michael,Cage,1962-01-28,205.0,101.0,15,,Center,1984,1999,1984,1,14
265,Harvey,Grant,1965-07-04,205.0,102.0,11,44.0,Forward,1988,1998,1988,1,12
270,Horace,Grant,1965-07-04,208.0,111.0,18,54.0,Center,1987,2003,1987,1,10
271,Johnny,Newman,1963-11-28,200.0,95.0,16,2.0,Forward,1986,2001,1986,2,29
273,Duane,Ferrell,1965-02-28,200.0,97.0,11,33.0,Forward,1988,1998,Undrafted,Undrafted,Undrafted
275,Allan,Houston,1971-04-20,198.0,92.0,13,,Guard,1993,2004,1993,1,11
278,Stacey,Augmon,1968-08-01,203.0,96.0,16,2.0,Forward-Guard,1991,2005,1991,1,9
280,Felton,Spencer,1968-01-05,213.0,131.0,12,50.0,Center,1990,2001,1990,1,6
281,Scott,Williams,1968-03-21,208.0,117.0,16,,Forward-Center,1990,2004,Undrafted,Undrafted,Undrafted
283,Lindsey,Hunter,1970-12-03,187.0,88.0,17,,Guard,1993,2009,1993,1,10
285,Greg,Grant,1966-08-29,170.0,63.0,6,9.0,Guard,1989,1995,1989,2,52
287,Eric,Leckner,1966-05-27,210.0,120.0,8,55.0,Center,1988,1996,1988,1,17
288,Armen,Gilliam,1964-05-28,205.0,117.0,12,5.0,Forward,1987,1999,1987,1,2
289,Ledell,Eackles,1966-11-24,195.0,104.0,7,21.0,Guard,1988,1997,1988,2,36
291,Ed,Pinckney,1963-03-27,205.0,108.0,12,54.0,Forward,1985,1996,1985,1,10
292,Anthony,Miller,1971-10-22,205.0,115.0,8,,Forward,1994,2004,1994,2,39
296,Rick,Fox,1969-07-24,200.0,106.0,14,17.0,Forward,1991,2003,1991,1,24
297,Alonzo,Mourning,1970-02-08,208.0,118.0,16,33.0,Center,1992,2007,1992,1,2
299,Glenn,Robinson,1973-01-10,200.0,108.0,12,3.0,Forward,1994,2004,1994,1,1
302,Mookie,Blaylock,1967-03-20,,,13,,Guard,1989,2001,1989,1,12
304,John,Stockton,1962-03-26,185.0,79.0,19,12.0,Guard,1984,2002,1984,1,16
305,Robert,Parish,1953-08-30,215.0,110.0,21,0.0,Center,1976,1996,1976,1,8
306,Steve,Colter,1962-07-24,190.0,74.0,8,5.0,Guard,1984,1994,1984,2,33
308,Derrick,Alston,1972-08-20,210.0,102.0,3,,Center,1994,1996,1994,2,33
310,Bobby,Hurley,1971-06-28,182.0,74.0,5,12.0,Guard,1993,1997,1993,1,7
313,Vern,Fleming,1962-02-04,195.0,83.0,12,10.0,Guard,1984,1995,1984,1,18
316,Richard,Manning,1970-06-23,210.0,111.0,2,50.0,Center,1995,1996,1993,2,40
317,John,Starks,1965-08-10,195.0,86.0,13,9.0,Guard,1988,2001,Undrafted,Undrafted,Undrafted
320,Jamie,Watson,1972-02-23,200.0,86.0,4,,Forward,1994,1998,1994,2,47
321,Scott,Haskin,1970-09-19,210.0,113.0,1,43.0,Forward,1993,1993,1993,1,14
323,Greg,Foster,1968-10-03,210.0,113.0,13,43.0,Center,1990,2002,1990,2,35
324,Anthony,Peeler,1969-11-25,193.0,94.0,14,8.0,Guard,1992,2004,1992,1,15
328,Rick,Mahorn,1958-09-21,208.0,117.0,18,4.0,Forward,1980,1998,1980,2,35
330,Danny,Manning,1966-05-17,208.0,106.0,16,,Forward-Center,1988,2002,1988,1,1
333,Kevin,Gamble,1965-11-13,195.0,95.0,10,,Forward,1987,1996,1987,3,63
335,Willie,Anderson,1967-01-08,203.0,90.0,8,35.0,Guard-Forward,1988,1996,1988,1,10
339,Tom,Gugliotta,1969-12-19,208.0,113.0,14,7.0,Forward,1992,2004,1992,1,6
340,Kevin,Pritchard,1967-07-17,190.0,81.0,4,12.0,Guard,1990,1995,1990,2,34
341,Joe,Wolf,1964-12-17,210.0,104.0,11,,Forward,1987,1998,1987,1,13
342,Andy,Toolson,1966-01-19,198.0,95.0,2,5.0,Forward,1990,1995,Undrafted,Undrafted,Undrafted
344,Dana,Barros,1967-04-13,180.0,74.0,15,,Guard,1989,2003,1989,1,16
345,Terry,Porter,1963-04-08,190.0,92.0,17,30.0,Guard,1985,2001,1985,1,24
346,Doug,Edwards,1971-01-21,200.0,106.0,3,32.0,Forward,1993,1995,1993,1,15
348,Mitchell,Butler,1970-12-15,195.0,95.0,9,32.0,Guard,1993,2003,Undrafted,Undrafted,Undrafted
349,Mark,Jackson,1965-04-01,190.0,88.0,18,31.0,Guard,1987,2003,1987,1,18
351,Stacey,King,1967-01-29,210.0,113.0,8,33.0,Forward-Center,1989,1996,1989,1,6
353,Darrell,Armstrong,1968-06-22,185.0,81.0,15,10.0,Guard,1994,2007,Undrafted,Undrafted,Undrafted
355,Vincent,Askew,1966-02-28,198.0,95.0,9,,Guard,1987,1997,1987,2,39
356,Chris,Morris,1966-01-20,203.0,103.0,11,34.0,Forward,1988,1998,1988,1,4
357,Greg,Sutton,1967-12-03,187.0,83.0,3,20.0,Guard,1991,1995,1991,2,49
358,Anfernee,Hardaway,1971-07-18,200.0,97.0,14,,Forward,1993,2007,1993,1,3
359,Chucky,Brown,1968-02-29,203.0,99.0,13,52.0,Forward,1989,2001,1989,2,43
361,Clifford,Robinson,1966-12-16,208.0,111.0,18,30.0,Forward-Center,1989,2006,1989,2,36
363,Christian,Laettner,1969-08-17,210.0,111.0,14,44.0,Forward-Center,1992,2004,1992,1,3
364,Rex,Chapman,1967-10-05,193.0,83.0,12,,Guard,1988,1999,1988,1,8
365,Derrick,McKey,1966-10-10,208.0,109.0,15,9.0,Forward,1987,2001,1987,1,9
368,Dwayne,Schintzius,1968-10-14,218.0,129.0,8,55.0,Center,1990,1998,1990,1,24
369,Charlie,Ward,1970-10-12,187.0,83.0,12,,Guard,1994,2004,1994,1,26
371,Terry,Mills,1967-12-21,,,11,,Forward,1990,2000,1990,1,16
375,Isaiah,Rider,1971-03-12,,,9,,Guard,1993,2001,1993,1,5
376,Eric,Montross,1971-09-23,213.0,122.0,9,0.0,Center,1994,2002,1994,1,9
378,Craig,Ehlo,1961-08-11,198.0,81.0,14,,Guard,1983,1996,1983,3,48
380,Tony,Smith,1968-06-14,,,9,,Guard,1990,2000,1990,2,51
381,James,Robinson,1970-08-31,,,7,,Guard,1993,2000,1993,1,21
383,Kendall,Gill,1968-05-25,195.0,97.0,15,,Guard,1990,2004,1990,1,5
384,Calbert,Cheaney,1971-07-17,200.0,95.0,13,40.0,Guard-Forward,1993,2005,1993,1,6
386,Elliot,Perry,1969-03-28,,,10,,Guard,1991,2001,1991,2,37
389,Toni,Kukoc,1968-09-18,210.0,106.0,13,7.0,Forward,1993,2005,1990,2,29
390,Sasha,Danilovic,1970-02-26,198.0,90.0,2,5.0,Guard,1995,1996,1992,2,43
393,Rod,Strickland,1966-07-11,190.0,83.0,17,,Guard,1988,2004,1988,1,19
397,Reggie,Miller,1965-08-24,200.0,88.0,19,31.0,Guard,1987,2004,1987,1,11
399,Sean,Rooks,1969-09-09,208.0,117.0,13,45.0,Center,1992,2003,1992,2,30
400,Derek,Strong,1968-02-09,205.0,108.0,10,30.0,Forward,1991,2000,1990,2,47
402,Jon,Koncak,1963-05-17,213.0,113.0,11,45.0,Center,1985,1995,1985,1,5
404,Kevin,Duckworth,1964-04-01,213.0,136.0,12,0.0,Center,1986,1996,1986,2,33
406,Shaquille,O'Neal,1972-03-06,215.0,147.0,19,34.0,Center,1992,2010,1992,1,1
412,Sharone,Wright,1973-01-30,210.0,117.0,4,,Center,1994,1997,1994,1,6
416,Willie,Burton,1968-05-26,203.0,95.0,8,,Forward,1990,1998,1990,1,9
417,Sam,Mitchell,1963-09-02,200.0,97.0,13,42.0,Forward,1989,2001,1985,3,54
418,Scott,Brooks,1965-07-31,180.0,74.0,10,2.0,Guard,1988,1997,Undrafted,Undrafted,Undrafted
