teamId,teamAbbrev,teamSlug,Color1,Color2,Color3,Color4,Color5,seasonFounded,seasonActiveTill
1610612737,ATL,atlanta-hawks,#C8102E,#FFC72C,#FFFFFF,#010101,#DBE2E9,1968,2100
1610612739,CLE,cleveland-cavaliers,#6F263D,#B9975B,#FFFFFF,#010101,#373A36,1970,2100
1610612740,NOH,new-orleans-hornets,#00778B,#280071,#FFC72C,#FFFFFF,#010101,2002,2004
1610612740,NOK,new-orleans-oklahoma-city-hornets,#00778B,#280071,#FFC72C,#FFFFFF,,2005,2006
1610612740,NOH,new-orleans-hornets,#00778B,#280071,#FFC72C,#FFFFFF,#010101,2007,2012
1610612740,NOP,new-orleans-pelicans,#0C2340,#B9975B,#C8102E,#FFFFFF,,2013,2100
1610612741,CHI,chicago-bulls,#BA0C2F,#010101,#FFFFFF,,,1966,2100
1610612742,DAL,dallas-mavericks,#0050B5,#0C2340,#9EA2A2,#FFFFFF,,1980,2100
1610612743,DEN,denver-nuggets,#0C2340,#862633,#FFC72C,#FFFFFF,,1976,2100
1610612744,GSW,golden-state-warriors,#1D4289,#FFC72C,#FFFFFF,#010101,,1971,2100
1610612745,HOU,houston-rockets,#BA0C2F,#010101,#9EA2A2,#FFFFFF,,1971,2100
1610612746,SDC,san-diego-clippers,#002F6C,#D50032,#FFFFFF,,#010101,1978,1983
1610612746,LAC,los-angeles-clippers,#0C2340,#C8102E,#418FDE,#FFFFFF,,1984,2100
1610612747,LAL,los-angeles-lakers,#330072,#FFC72C,#FFFFFF,#010101,,1960,2100
1610612748,MIA,miami-heat,#010101,#862633,#FFA400,#FFFFFF,,1988,2100
1610612749,MIL,milwaukee-bucks,#2C5234,#DDCBA4,#FFFFFF,#010101,,1968,2100
1610612750,MIN,minnesota-timberwolves,#0C2340,#236192,#78BE21,#9EA2A2,#FFFFFF,1989,2100
1610612751,NJ,new-jersey-nets,#041E42,#BA0C2F,#605E5C,#8D9093,#FFFFFF,1977,2011
1610612751,BKN,brooklyn-nets,#000000,#FFFFFF,#707372,#DBE2E9,,2012,2100
1610612753,ORL,orlando-magic,#0050B5,#010101,#9EA2A2,#FFFFFF,,1989,2100
1610612754,IND,indiana-pacers,#0C2340,#FFCD00,#FFFFFF,#9EA2A2,,1976,2100
1610612755,PHI,philadelphia-76ers,#1D4289,#C8102E,#FFFFFF,#9EA2A2,,1963,2100
1610612756,PHX,phoenix-suns,#211747,#CB6015,#FFA400,#C7C9C7,,1968,2100
1610612757,POR,portland-trail-blazers,#010101,#C8102E,FFFFFF,,,1970,2100
1610612758,KC,kansas-city-kings,#002F6C,#BA0C2F,#FFFFFF,,,1975,1984
1610612758,SAC,sacramento-kings,#010101,#582C83,#707372,#FFFFFF,,1985,2100
1610612759,SAN,san-antonio-spurs,#010101,#9EA2A2,#FFFFFF,#272727,,1976,2100
1610612760,SEA,seattle-supersonics,#00573F,#F6BE00,#FFFFFF,#010101,,1967,2007
1610612760,OKC,oklahoma-city-thunder,#0072CE,#041E42,#F9423A,#FFB81C,,2008,2100
1610612761,TOR,toronto-raptors,#BA0C2F,#010101,#FFFFFF,#753BBD,,1995,2100
1610612762,UTA,utah-jazz,#0C2340,#2C5234,#FFA400,#330072,,1979,2100
1610612763,VAN,vancouver-grizzlies,#00B2A9,#010101,#C8102E,#8F654D,#FFFFFF,1995,2000
1610612763,MEM,memphis-grizzlies,#0C2340,#7D9CC0,#FFC72C,#FFFFFF,,2001,2100
1610612764,WAS,washington-bullets,#D50032,#003DA5,#FFFFFF,,,1974,1996
1610612764,WAS,washington-wizards,#C8102E,#0C2340,#9EA2A2,,,1997,2100
1610612765,DET,detroit-pistons,#1D4289,#C8102E,#FFFFFF,#B1B3B3,,1957,2100
1610612766,CHA,charlotte-hornets,#00778B,#211747,#FFFFFF,#888B8D,#2E1A47,1988,2001
1610612766,CHA,charlotte-bobcats,#0C2340,#418FDE,#E35205,#888B8D,#FFFFFF,2004,2013
1610612766,CHA,charlotte-hornets,#00778B,#211747,#FFFFFF,#888B8D,#2E1A47,2014,2100
1610612738,BOS,boston-celtics,#007A33,#FFFFFF,#010101,#896C4C,,1949,2100
1610612752,NYK,new-york-knicks,#1D4289,#FF8200,#9EA2A2,#FFFFFF,,1949,2100
